time,open,high,low,close
,SPY,SPY,SPY,SPY
2024-06-26,540.209283574617,542.7429462731731,539.5535355969372,542.0176391601562
2024-06-27,541.8785333532583,543.4583808478909,541.1233891744105,542.8721313476562
2024-06-28,543.657081567454,546.7571632718256,539.4740725954332,540.7359008789062
2024-07-01,542.1368764681023,542.3852759657548,539.0468012719632,541.8487548828125
2024-07-02,540.2192968299051,545.4953002929688,540.1696290539968,545.4953002929688
2024-07-03,545.1772796111068,548.2971918317728,545.1375575237815,547.9295654296875
2024-07-05,548.2375511458326,551.4965208324575,547.5916882313281,551.0891723632812
2024-07-08,551.884046644386,552.6888585564628,550.6420492094277,551.72509765625
2024-07-09,552.6988432685978,553.6129364648433,551.9635904382866,552.2616577148438
2024-07-10,553.5036489009739,558.0741754742883,553.205581627829,557.7264404296875
2024-07-11,557.8456875577136,558.7300043704364,552.2716170924413,552.9174194335938
2024-07-12,554.0600306153884,560.0613404112083,553.5831230048191,556.4049072265625
2024-07-15,558.431857544371,561.2238652210849,556.0471983236289,557.93505859375
2024-07-16,559.2664631971054,561.5417806296592,558.5013733831685,561.2437133789062
2024-07-17,555.2225895749159,556.9216641071794,553.0466073751033,553.37451171875
2024-07-18,554.934410669843,555.9379543203733,546.906122110008,549.121826171875
2024-07-19,548.8834369853205,550.532843766842,544.4022999200884,545.4754028320312
2024-07-22,549.4597210903114,551.7152080677258,547.4924163595272,551.0991821289062
2024-07-23,550.9897636467225,553.1756911794572,549.7378812203599,550.2346801757812
2024-07-24,545.3461720780751,545.6541850257204,536.8310301226088,537.7650146484375
2024-07-25,537.8842542829834,543.9551841667384,534.0092584606904,534.9630737304688
2024-07-26,538.8083836881038,543.6869234665041,538.0234024103164,540.9545288085938
2024-07-29,542.5244041316022,543.5477785454984,539.2454821872736,541.2724609375
2024-07-30,542.7628888282719,543.8359917191809,535.0724495063189,538.5301513671875
2024-07-31,545.4654509864566,549.9565336849107,544.074450070198,547.2837524414062
2024-08-01,549.0324243092629,551.3176874562263,535.9765327439106,539.5336303710938
2024-08-02,532.3201333885539,533.5521852167631,525.2158833655485,529.4884033203125
2024-08-05,508.3645060852609,520.2280688833214,507.0032513256614,514.0677490234375
